iter	Passed	Remaining
679	3903	1837
680	3908	1831
681	3914	1825
682	3919	1819
683	3925	1813
684	3930	1807
685	3936	1801
686	3942	1796
687	3948	1790
688	3953	1784
689	3958	1778
690	3964	1772
691	3969	1766
692	3975	1761
693	3980	1755
694	3985	1749
695	3991	1743
696	3996	1737
697	4002	1731
698	4007	1725
699	4013	1720
700	4018	1714
701	4025	1708
702	4031	1703
703	4036	1697
704	4042	1691
705	4047	1685
706	4054	1680
707	4059	1674
708	4065	1668
709	4070	1662
710	4076	1656
711	4081	1650
712	4086	1645
713	4092	1639
714	4097	1633
715	4102	1627
716	4108	1621
717	4114	1615
718	4119	1610
719	4125	1604
720	4130	1598
721	4136	1592
722	4142	1587
723	4147	1581
724	4152	1575
725	4158	1569
726	4164	1563
727	4169	1557
728	4175	1552
729	4180	1546
730	4185	1540
731	4191	1534
732	4196	1528
733	4202	1522
734	4207	1517
735	4212	1511
736	4218	1505
737	4224	1499
738	4230	1493
739	4236	1488
740	4241	1482
741	4246	1476
742	4253	1471
743	4258	1465
744	4263	1459
745	4269	1453
746	4274	1447
747	4279	1441
748	4285	1436
749	4290	1430
750	4296	1424
751	4302	1419
752	4308	1413
753	4313	1407
754	4319	1401
755	4324	1395
756	4330	1390
757	4335	1384
758	4341	1378
759	4346	1372
760	4352	1366
761	4357	1361
762	4363	1355
763	4369	1349
764	4374	1343
765	4379	1337
766	4385	1332
767	4390	1326
768	4396	1320
769	4401	1314
770	4406	1308
771	4411	1303
772	4417	1297
773	4423	1291
774	4428	1285
775	4435	1280
776	4440	1274
777	4447	1269
778	4454	1263
779	4460	1257
780	4465	1252
781	4471	1246
782	4477	1240
783	4483	1235
784	4488	1229
785	4494	1223
786	4500	1217
787	4505	1212
788	4511	1206
789	4517	1200
790	4522	1195
791	4528	1189
792	4534	1183
793	4539	1177
794	4545	1172
795	4551	1166
796	4557	1160
797	4563	1155
798	4569	1149
799	4575	1143
800	4581	1138
801	4586	1132
802	4592	1126
803	4601	1121
804	4606	1115
805	4613	1110
806	4619	1104
807	4625	1099
808	4631	1093
809	4636	1087
810	4642	1081
811	4648	1076
812	4653	1070
813	4660	1064
814	4665	1059
815	4671	1053
816	4677	1047
817	4683	1042
818	4689	1036
819	4695	1030
820	4700	1024
821	4706	1019
822	4713	1013
823	4718	1007
824	4724	1002
825	4730	996
826	4736	990
827	4742	985
828	4748	979
829	4753	973
830	4759	967
831	4765	962
832	4771	956
833	4776	950
834	4782	945
835	4788	939
836	4794	933
837	4799	927
838	4805	922
839	4811	916
840	4816	910
841	4821	904
842	4827	899
843	4833	893
844	4839	887
845	4845	881
846	4850	876
847	4856	870
848	4861	864
849	4867	858
850	4873	853
851	4878	847
852	4884	841
853	4890	836
854	4895	830
855	4901	824
856	4907	818
857	4912	813
858	4917	807
859	4923	801
860	4929	795
861	4934	790
862	4939	784
863	4944	778
864	4950	772
865	4955	766
866	4960	761
867	4966	755
868	4972	749
869	4977	743
870	4983	738
871	4989	732
872	4994	726
873	5000	720
874	5005	715
875	5011	709
876	5017	703
877	5023	697
878	5028	692
879	5034	686
880	5039	680
881	5045	675
882	5051	669
883	5057	663
884	5062	657
885	5068	652
886	5074	646
887	5079	640
888	5085	634
889	5090	629
890	5096	623
891	5102	617
892	5107	611
893	5112	606
894	5119	600
895	5124	594
896	5130	589
